primary_title,runtime_minutes,genres,average_rating,num_votes,directors,writers,studio,year,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
Guardians of the Galaxy Vol. 2,136.0,"['Action', 'Adventure', 'Comedy']",7.7,482917.0,nm0348181,"nm0348181,nm3966115,nm5037683,nm1921680,nm3238648,nm4160687,nm0498278,nm1293367,nm0456158,nm2757098,nm0317493,nm0314153,nm0562554",BV,2017,2017-05-05,200000000.0,389813101.0,862316233.0,472503132.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Space Between Us,120.0,"['Adventure', 'Drama', 'Romance']",6.4,41031.0,nm0155093,"nm1615610,nm0771609,nm0507669",STX,2017,2017-02-03,30000000.0,7885294.0,16481405.0,8596111.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,"['Action', 'Adventure', 'Comedy']",6.0,77234.0,nm1757777,"nm0032227,nm0625858,nm0481990,nm0247653",Par.,2016,2016-06-03,135000000.0,82051601.0,245328374.0,163276773.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mustang,97.0,['Drama'],7.6,30899.0,nm2197025,"nm2197025,nm1356951",Cohen,2015,2015-11-20,1400000.0,845464.0,5552584.0,4707120.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Bye Bye Man,96.0,"['Drama', 'Fantasy', 'Horror']",4.3,17743.0,nm0864468,"nm0672103,nm6765196",STX,2017,2017-01-13,7400000.0,22395806.0,31187727.0,8791921.0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Manchester by the Sea,137.0,['Drama'],7.8,214557.0,nm0518836,nm0518836,RAtt.,2016,2016-11-18,8500000.0,47695371.0,77733867.0,30038496.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Swiss Army Man,97.0,"['Adventure', 'Comedy', 'Drama']",7.0,91736.0,"nm3453283,nm3215397","nm3215397,nm3453283",A24,2016,2016-06-24,3000000.0,4210454.0,5837111.0,1626657.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Maze Runner: The Scorch Trials,131.0,"['Action', 'Sci-Fi', 'Thriller']",6.3,201143.0,nm1226871,"nm2385905,nm4212895",Fox,2015,2015-09-18,61000000.0,81697192.0,310566162.0,228868970.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
The Shallows,86.0,"['Drama', 'Horror', 'Thriller']",6.3,106927.0,nm1429471,nm1097510,Sony,2016,2016-06-24,13000000.0,55121623.0,118763442.0,63641819.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
Do You Believe?,120.0,['Drama'],6.1,6462.0,nm0348197,"nm0465484,nm0813301",PFR,2015,2015-03-20,2300000.0,12985600.0,14304931.0,1319331.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Darkest Minds,104.0,"['Action', 'Adventure', 'Drama']",5.7,21340.0,nm0950775,"nm1209925,nm4428412",Fox,2018,2018-08-03,34000000.0,12695691.0,38361428.0,25665737.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Purge: Election Year,108.0,"['Action', 'Horror', 'Sci-Fi']",6.0,80254.0,nm0218621,nm0218621,Uni.,2016,2016-07-01,10000000.0,79042440.0,118514727.0,39472287.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
The Lego Batman Movie,104.0,"['Action', 'Animation', 'Comedy']",7.3,116433.0,nm0003021,"nm0334381,nm0571344,nm1273099,nm2972864,nm4465847,nm0004170,nm0277730,nm0796950,nm0795975,nm0551376,nm9204083,nm9204084,nm9204085,nm4243936",WB,2017,2017-02-10,80000000.0,175750384.0,310660018.0,134909634.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fantastic Beasts: The Crimes of Grindelwald,134.0,"['Adventure', 'Family', 'Fantasy']",6.6,163151.0,nm0946734,nm0746830,WB,2018,2018-11-16,200000000.0,159555901.0,652220086.0,492664185.0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Florence Foster Jenkins,111.0,"['Biography', 'Comedy', 'Drama']",6.8,44970.0,nm0001241,nm0552842,Par.,2016,2016-08-12,29000000.0,27383770.0,56000339.0,28616569.0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Keanu,100.0,"['Action', 'Comedy', 'Crime']",6.3,41560.0,nm1534595,"nm1443502,nm4621803",WB (NL),2016,2016-04-29,15000000.0,20591853.0,20688141.0,96288.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Avengers: Infinity War,149.0,"['Action', 'Adventure', 'Sci-Fi']",8.5,670926.0,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3238648,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347",BV,2018,2018-04-27,300000000.0,678815482.0,2048134200.0,1369318718.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Don't Breathe,88.0,"['Crime', 'Horror', 'Thriller']",7.1,186799.0,nm1793079,"nm1793079,nm2140186",SGem,2016,2016-08-26,10000000.0,89217875.0,158973685.0,69755810.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
The Gift,108.0,"['Drama', 'Mystery', 'Thriller']",7.1,123834.0,nm0249291,nm0249291,STX,2015,2015-08-07,5000000.0,43787265.0,58978477.0,15191212.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
Woodlawn,123.0,"['Drama', 'Sport']",6.5,6070.0,"nm3401779,nm2296528","nm2296528,nm8188756,nm0670266,nm8188757",PFR,2015,2015-10-16,13000000.0,14394097.0,14403703.0,9606.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Jason Bourne,123.0,"['Action', 'Thriller']",6.6,190596.0,nm0339030,"nm0339030,nm0002582,nm0524924",Uni.,2016,2016-07-29,120000000.0,162192920.0,416168316.0,253975396.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Molly's Game,140.0,"['Biography', 'Crime', 'Drama']",7.5,104786.0,nm0815070,"nm0815070,nm6591098",STX,2017,2017-12-25,30000000.0,28780744.0,53296424.0,24515680.0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
